experiment,method,seed,class,support,auroc,auprc
stage9_source_replay_weighted_384,Source-matched replay,43,vasc,18,0.9955978165169925,0.9017710170487947
stage9_source_replay_weighted_384,Source-matched replay,44,akiec,42,0.9780367720593892,0.7796762549601381
stage9_source_replay_weighted_384,Source-matched replay,44,bcc,65,0.9926685660018992,0.8827680349862654
stage9_source_replay_weighted_384,Source-matched replay,44,bkl,140,0.9221491228070176,0.7408469735596572
stage9_source_replay_weighted_384,Source-matched replay,44,df,16,0.9882318037974683,0.7690996986705942
stage9_source_replay_weighted_384,Source-matched replay,44,mel,143,0.820838791815045,0.5200787718231965
stage9_source_replay_weighted_384,Source-matched replay,44,nv,856,0.8883712087815201,0.9169746020390899
stage9_source_replay_weighted_384,Source-matched replay,44,vasc,18,0.9961260785349533,0.9311266546904663
stage9_crt_weighted_384,cRT classifier retraining,42,akiec,42,0.9785945072697899,0.8236600096317734
stage9_crt_weighted_384,cRT classifier retraining,42,bcc,65,0.9932257043368153,0.8942787143570554
stage9_crt_weighted_384,cRT classifier retraining,42,bkl,140,0.9536372180451128,0.7958945702928791
stage9_crt_weighted_384,cRT classifier retraining,42,df,16,0.9909018987341772,0.7135546286049587
stage9_crt_weighted_384,cRT classifier retraining,42,mel,143,0.8615421517796188,0.5875384073904076
stage9_crt_weighted_384,cRT classifier retraining,42,nv,856,0.9094901692823135,0.940187572504061
stage9_crt_weighted_384,cRT classifier retraining,42,vasc,18,0.9981510829371368,0.9319954066608602
stage9_crt_weighted_384,cRT classifier retraining,43,akiec,42,0.9570351565505039,0.8238457428320258
stage9_crt_weighted_384,cRT classifier retraining,43,bcc,65,0.9903007280785059,0.862630068773358
stage9_crt_weighted_384,cRT classifier retraining,43,bkl,140,0.9442919799498747,0.7751793621609712
stage9_crt_weighted_384,cRT classifier retraining,43,df,16,0.9789853639240507,0.7399197804993349
stage9_crt_weighted_384,cRT classifier retraining,43,mel,143,0.8502069610249029,0.5845900612822488
stage9_crt_weighted_384,cRT classifier retraining,43,nv,856,0.9010673822958915,0.9365170410491527
stage9_crt_weighted_384,cRT classifier retraining,43,vasc,18,0.9968744497270646,0.8703130806391677
stage9_crt_weighted_384,cRT classifier retraining,44,akiec,42,0.9647472882529425,0.8462823340284845
stage9_crt_weighted_384,cRT classifier retraining,44,bcc,65,0.9931117442228553,0.8804213169383472
stage9_crt_weighted_384,cRT classifier retraining,44,bkl,140,0.9269078947368422,0.7719107417068363
stage9_crt_weighted_384,cRT classifier retraining,44,df,16,0.9716673259493671,0.6327589777425302
stage9_crt_weighted_384,cRT classifier retraining,44,mel,143,0.8492967015394457,0.5909744558889457
stage9_crt_weighted_384,cRT classifier retraining,44,nv,856,0.9102878129959443,0.9385700639371869
stage9_crt_weighted_384,cRT classifier retraining,44,vasc,18,0.9872336678992781,0.8397695627958787
