experiment,method,seed,selection_objective,mel_logit_offset,calibration_objective_value,evaluation_macro_f1,evaluation_mcc,evaluation_ece,evaluation_mel_precision,evaluation_mel_recall,evaluation_mel_f1
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,42,target_f1,-1.4100000000000001,0.5522388059701493,0.7588110392085224,0.659676554661751,0.05087820652732783,0.5571428571428572,0.5416666666666666,0.5492957746478874
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,43,macro_f1,-0.11000000000000032,0.7810708376938233,0.7072565826472206,0.5969884369298933,0.0607128583981956,0.3548387096774194,0.6111111111111112,0.4489795918367347
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,43,mcc,-1.75,0.6828145738895882,0.6916219021159046,0.6194946456739647,0.030038740072122427,0.4246575342465753,0.4305555555555556,0.42758620689655175
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,43,target_f1,-0.46999999999999975,0.5542168674698795,0.7013702193122916,0.5963610482314678,0.044326333759899514,0.36036036036036034,0.5555555555555556,0.4371584699453552
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,44,macro_f1,-0.4500000000000002,0.7712760037571487,0.6735515279358903,0.5966720900445694,0.05487437484497521,0.5,0.375,0.42857142857142855
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,44,mcc,-1.38,0.6898498798302917,0.6652103838915598,0.5941319977439579,0.05353149535748805,0.59375,0.2638888888888889,0.36538461538461536
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,44,target_f1,-0.46999999999999975,0.549618320610687,0.6735515279358903,0.5966720900445694,0.05546991285879929,0.5,0.375,0.42857142857142855
stage8_synthetic_dino_384,Synthetic + DINO,42,macro_f1,-0.17999999999999972,0.7746098855716635,0.7139594897790218,0.5458300852868467,0.043221608945907486,0.3191489361702128,0.625,0.4225352112676056
stage8_synthetic_dino_384,Synthetic + DINO,42,mcc,-2.46,0.669779714509723,0.7213715361143253,0.6334894387891384,0.058174260246675366,0.7666666666666667,0.3194444444444444,0.45098039215686275
stage8_synthetic_dino_384,Synthetic + DINO,42,target_f1,-0.41999999999999993,0.5698924731182796,0.7131357367361009,0.5480338130197626,0.04956966136542589,0.328,0.5694444444444444,0.41624365482233505
stage8_synthetic_dino_384,Synthetic + DINO,43,macro_f1,-1.12,0.7931012820238212,0.7274490575221314,0.617876543484286,0.03999375257497514,0.4533333333333333,0.4722222222222222,0.46258503401360546
stage8_synthetic_dino_384,Synthetic + DINO,43,mcc,-1.96,0.6890839998674778,0.7320490356101096,0.6440213866137823,0.055000304154378656,0.5952380952380952,0.3472222222222222,0.43859649122807015
stage8_synthetic_dino_384,Synthetic + DINO,43,target_f1,-1.12,0.5174825174825175,0.7274490575221314,0.617876543484286,0.03999375257497514,0.4533333333333333,0.4722222222222222,0.46258503401360546
stage8_synthetic_dino_384,Synthetic + DINO,44,macro_f1,0.020000000000000462,0.7479508209271121,0.6971294747909267,0.5739870394143665,0.06073836458126901,0.41304347826086957,0.5277777777777778,0.4634146341463415
stage8_synthetic_dino_384,Synthetic + DINO,44,mcc,-0.9100000000000001,0.6433985367676317,0.7078707697403218,0.6060347831956053,0.05565850592802746,0.6304347826086957,0.4027777777777778,0.4915254237288136
stage8_synthetic_dino_384,Synthetic + DINO,44,target_f1,0.020000000000000462,0.4788732394366197,0.6971294747909267,0.5739870394143665,0.06073836458126901,0.41304347826086957,0.5277777777777778,0.4634146341463415
stage9_real_ce_undersample_384,Real CE undersampling,42,macro_f1,-0.08000000000000007,0.5767212639361708,0.5616968507732575,0.3718493173676714,0.05742936363138563,0.20441988950276244,0.5138888888888888,0.2924901185770751
stage9_real_ce_undersample_384,Real CE undersampling,42,mcc,-1.33,0.4651957765272655,0.5822876490689192,0.45412812389714674,0.06773751331292602,0.5106382978723404,0.3333333333333333,0.40336134453781514
stage9_real_ce_undersample_384,Real CE undersampling,42,target_f1,-0.2699999999999996,0.4158415841584158,0.5680817171770891,0.3920665240049756,0.0393472300576955,0.22875816993464052,0.4861111111111111,0.3111111111111111
stage9_real_ce_undersample_384,Real CE undersampling,43,macro_f1,-1.29,0.7391803556445551,0.6866782533736435,0.5739696657939763,0.08104491628057671,0.45454545454545453,0.4861111111111111,0.4697986577181208
stage9_real_ce_undersample_384,Real CE undersampling,43,mcc,-1.29,0.6372072321161767,0.6866782533736435,0.5739696657939763,0.08104491628057671,0.45454545454545453,0.4861111111111111,0.4697986577181208
stage9_real_ce_undersample_384,Real CE undersampling,43,target_f1,-1.29,0.5921052631578947,0.6866782533736435,0.5739696657939763,0.08104491628057671,0.45454545454545453,0.4861111111111111,0.4697986577181208
stage9_real_ce_undersample_384,Real CE undersampling,44,macro_f1,-0.5599999999999996,0.6231854410998523,0.5811450175903478,0.48145568476916256,0.06948219369793693,0.4827586206896552,0.3888888888888889,0.4307692307692308
stage9_real_ce_undersample_384,Real CE undersampling,44,mcc,-0.5499999999999998,0.5149906088703502,0.5798007582653489,0.47756827793029805,0.0625730242147963,0.4666666666666667,0.3888888888888889,0.42424242424242425
stage9_real_ce_undersample_384,Real CE undersampling,44,target_f1,-0.03000000000000025,0.4083769633507853,0.5718186287487388,0.44479541269492906,0.0619785924899983,0.29838709677419356,0.5138888888888888,0.37755102040816324
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,42,macro_f1,-0.2999999999999998,0.7592568372549698,0.7524909834826911,0.6068418269436099,0.04693783216203757,0.40816326530612246,0.5555555555555556,0.47058823529411764
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,42,mcc,-1.6099999999999999,0.64265916700725,0.7547793953445965,0.6287077452940983,0.04855256555438626,0.515625,0.4583333333333333,0.4852941176470588
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,42,target_f1,0.0,0.5542168674698795,0.7432456617828898,0.5941596360417484,0.05373957035860744,0.37962962962962965,0.5694444444444444,0.45555555555555555
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,43,macro_f1,-0.79,0.7790515629456698,0.7268800535940556,0.6293774630277472,0.05302355913698896,0.41964285714285715,0.6527777777777778,0.5108695652173914
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,43,mcc,-2.39,0.6735237604741914,0.7095761850320373,0.6398652461209261,0.053805733494635404,0.5151515151515151,0.4722222222222222,0.4927536231884058
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,43,target_f1,-1.5499999999999998,0.5578231292517006,0.7163626759335132,0.6300293420836088,0.04875058068219492,0.43820224719101125,0.5416666666666666,0.484472049689441
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,44,macro_f1,0.15000000000000036,0.8019568993462832,0.7309049104767695,0.5977375293463504,0.05192113245771393,0.3669724770642202,0.5555555555555556,0.4419889502762431
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,44,mcc,-2.2199999999999998,0.7186261913319042,0.72790173977577,0.6573452474723729,0.05530959470871433,0.6170212765957447,0.4027777777777778,0.48739495798319327
stage9_real_balanced_softmax_natural_384,Real Balanced Softmax,44,target_f1,-0.6899999999999995,0.5555555555555556,0.7442359208079365,0.6340164621167688,0.04198949726998734,0.45454545454545453,0.5555555555555556,0.5
stage9_source_replay_weighted_384,Source-matched replay,42,macro_f1,-0.7000000000000002,0.8191980869537979,0.7644844054316556,0.6390560695860397,0.0497883590504569,0.44,0.4583333333333333,0.4489795918367347
stage9_source_replay_weighted_384,Source-matched replay,42,mcc,-1.62,0.7275951922330783,0.7647724415389471,0.6491549937271138,0.04146529699812103,0.54,0.375,0.4426229508196721
stage9_source_replay_weighted_384,Source-matched replay,42,target_f1,-0.7000000000000002,0.5314685314685315,0.7644844054316556,0.6390560695860397,0.0497883590504569,0.44,0.4583333333333333,0.4489795918367347
stage9_source_replay_weighted_384,Source-matched replay,43,macro_f1,-0.39999999999999947,0.7321964772834334,0.7053136853430872,0.5844383176692332,0.05963570904058946,0.44565217391304346,0.5694444444444444,0.5
stage9_source_replay_weighted_384,Source-matched replay,43,mcc,-0.7699999999999996,0.5709693819016338,0.712397904024534,0.6051959352875859,0.07716484175133131,0.5362318840579711,0.5138888888888888,0.524822695035461
stage9_source_replay_weighted_384,Source-matched replay,43,target_f1,-0.41999999999999993,0.5128205128205128,0.7053136853430872,0.5844383176692332,0.05659305638052782,0.44565217391304346,0.5694444444444444,0.5
stage9_source_replay_weighted_384,Source-matched replay,44,macro_f1,-1.17,0.7821810325569725,0.7053352772856535,0.624965385965063,0.031105822748411966,0.5384615384615384,0.4861111111111111,0.5109489051094891
stage9_source_replay_weighted_384,Source-matched replay,44,mcc,-1.79,0.6860206487333607,0.7003453259213629,0.6259228395968159,0.0429967374632006,0.6222222222222222,0.3888888888888889,0.47863247863247865
stage9_source_replay_weighted_384,Source-matched replay,44,target_f1,-1.4100000000000001,0.549618320610687,0.7038727686006949,0.6271315935278275,0.03337855097086058,0.5892857142857143,0.4583333333333333,0.515625
stage9_crt_weighted_384,cRT classifier retraining,42,macro_f1,-0.05999999999999961,0.7847597359568123,0.6835597949429052,0.5731631617669218,0.04090498676229158,0.36585365853658536,0.625,0.46153846153846156
stage9_crt_weighted_384,cRT classifier retraining,42,mcc,-1.29,0.6947582053295228,0.7082909147135392,0.6444565508203807,0.033944688587497066,0.6031746031746031,0.5277777777777778,0.562962962962963
stage9_crt_weighted_384,cRT classifier retraining,42,target_f1,-0.75,0.5660377358490566,0.6989142684602184,0.6178304850964814,0.03592523863233134,0.4823529411764706,0.5694444444444444,0.5222929936305732
stage9_crt_weighted_384,cRT classifier retraining,43,macro_f1,-2.21,0.7672001816610537,0.7192103865888134,0.6578922761000324,0.056274869633575954,0.5333333333333333,0.4444444444444444,0.48484848484848486
stage9_crt_weighted_384,cRT classifier retraining,43,mcc,-2.21,0.687081884363012,0.7192103865888134,0.6578922761000324,0.056274869633575954,0.5333333333333333,0.4444444444444444,0.48484848484848486
stage9_crt_weighted_384,cRT classifier retraining,43,target_f1,-1.87,0.6187050359712231,0.716385398760314,0.6371527227228424,0.04232116807925659,0.44594594594594594,0.4583333333333333,0.4520547945205479
stage9_crt_weighted_384,cRT classifier retraining,44,macro_f1,-1.15,0.801671431580969,0.6946730642421353,0.61365454136865,0.03587927574741391,0.45,0.5,0.47368421052631576
stage9_crt_weighted_384,cRT classifier retraining,44,mcc,-1.15,0.7186086689567605,0.6946730642421353,0.61365454136865,0.03587927574741391,0.45,0.5,0.47368421052631576
stage9_crt_weighted_384,cRT classifier retraining,44,target_f1,-1.15,0.64,0.6946730642421353,0.61365454136865,0.03587927574741391,0.45,0.5,0.47368421052631576
